titulo,precio,precio_texto,ubicacion,comuna,region,dormitorios,banos,superficie_total,superficie_util,estacionamientos,url,vendedor,fecha_scraping
Casa En Cité Patrimonial Leer Descripción Antes De Preguntar,610000.0,$610.000,"Nueva De Valdes 664, San Diego, Santiago",San Diego,Santiago,3.0,2.0,,100.0,,https://portalinmobiliario.com/MLC-3199285540-casa-en-cite-patrimonial-leer-descripcion-antes-de-preguntar-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
"Casa En Arriendo Para Oficina, Hogar De Ancianos O Instituto",260.0,$260,"Cienfuegos, Santiago, Barrio Brasil, Santiago",Barrio Brasil,Santiago,43.0,10.0,,960.0,,https://portalinmobiliario.com/MLC-1689338077-casa-en-arriendo-para-oficina-hogar-de-ancianos-o-instituto-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=47&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Amplia Y Versátil Casa En El  Mejor Sector Del Barrio Yungay,1100000.0,$1.100.000,"Compañía De Jesús 2820, 8.3502e+06 - 8.3505e+06 Santiago, Región Metropolitana, Chile, Barrio Yungay, Santiago",Barrio Yungay,Santiago,5.0,2.0,,198.0,,https://portalinmobiliario.com/MLC-3180535520-amplia-y-versatil-casa-en-el-mejor-sector-del-barrio-yungay-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=48&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Arriendo Casa 4 Dormitorios En Cité,440000.0,$440.000,"Conferencia 1257, Santiago, Club Hípico, Santiago",Club Hípico,Santiago,4.0,1.0,,54.0,,https://portalinmobiliario.com/MLC-3121857760-arriendo-casa-4-dormitorios-en-cite-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
Casa En Arriendo De 4 Dorm. En Santiago,550000.0,$550.000,"FRAY CAMILO HENRÍQUEZ 948, Barrio Diez De Julio, Santiago",Barrio Diez De Julio,Santiago,4.0,2.0,,80.0,,https://portalinmobiliario.com/MLC-1706194659-casa-en-arriendo-de-4-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
"Casa Remodelada, Ideal Uso Comercial.",1000000.0,$1.000.000,"Artemio Gutiérrez, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,6.0,2.0,,160.0,,https://portalinmobiliario.com/MLC-3125314388-casa-remodelada-ideal-uso-comercial-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
Se Arrienda Amplia Casa De Dos Pisos,1100000.0,$1.100.000,"Sta. Elena 1407, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,4.0,2.0,,150.0,,https://portalinmobiliario.com/MLC-1716042229-se-arrienda-amplia-casa-de-dos-pisos-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
Cpm Arriendo Casa Comercial San Isidro 459 7 Habitaciones,40.0,$40,"San Isidro 459, Santiago, Santa Isabel, Santiago",Santa Isabel,Santiago,8.0,3.0,,342.0,,https://portalinmobiliario.com/MLC-1706860695-cpm-arriendo-casa-comercial-san-isidro-459-7-habitaciones-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
Casa Ideal Para Hostal,260.0,$260,"Cienfuegos 26, Santiago, Barrio Brasil, Santiago",Barrio Brasil,Santiago,38.0,5.0,,940.0,,https://portalinmobiliario.com/MLC-3174019498-casa-ideal-para-hostal-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
"Excelente Casa Remodelada  , Con 94 Metros De Construcción,",750001.0,$750.001,"Roberto Espinoza 1424, Santiago, Chile, Parque O'Higgins, Santiago",Parque O'Higgins,Santiago,3.0,2.0,,94.0,,https://portalinmobiliario.com/MLC-1714014603-excelente-casa-remodelada-con-94-metros-de-construccion-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
"Amplia Casa 2 Pisos , Remodelada , 3 Dormitorios , 2 Baños .",750000.0,$750.000,"Roberto Espinoza 1424, Santiago, Chile, Parque O'Higgins, Santiago",Parque O'Higgins,Santiago,3.0,2.0,,94.0,,https://portalinmobiliario.com/MLC-1711622205-amplia-casa-2-pisos-remodelada-3-dormitorios-2-banos--_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
Casa En Arriendo De 5 Dorm. En Santiago,42.0,$42,"Pedro León Ugalde / Santa Elvira, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,5.0,3.0,,263.0,,https://portalinmobiliario.com/MLC-1704734329-casa-en-arriendo-de-5-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,Fuenzalida Santiago Centro,2025-10-10 13:02:57
"Casa Ideal Para Empresas, Taller Ofician Y Bodegaje",1300000.0,$1.300.000,"Ventura Lavalle 300 - 600, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,3.0,3.0,,110.0,,https://portalinmobiliario.com/MLC-1713965893-casa-ideal-para-empresas-taller-ofician-y-bodegaje-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
Casa Santo Domingo/rosas,2400000.0,$2.400.000,"Santo Domingo/Rosas, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,Santiago,14.0,5.0,,396.0,,https://portalinmobiliario.com/MLC-3188747616-casa-santo-domingorosas-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
"Casa 2 Pisos  Beaucheff Santiago, Región Metropolitana",750000.0,$750.000,"Beaucheff 1375, Santiago, Parque O'Higgins, Santiago",Parque O'Higgins,Santiago,3.0,1.0,,35.0,,https://portalinmobiliario.com/MLC-1708441975-casa-2-pisos-beaucheff-santiago-region-metropolitana-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
"Departamento Nuevo, 2 Dormitorios, 2 Baños!!",460000.0,$460.000,"Abate Molina 478, Santiago, Barrio República, Santiago",Barrio República,Santiago,2.0,2.0,,49.0,,https://portalinmobiliario.com/MLC-1710264035-departamento-nuevo-2-dormitorios-2-banos-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
"Nueva, Totalmente Remodelada 14 Dormitor. 6 Baños 2 Cocinas",70.0,$70,"Maipú 114, Santiago, Barrio Yungay, Santiago",Barrio Yungay,Santiago,14.0,6.0,,282.0,,https://portalinmobiliario.com/MLC-3198824326-nueva-totalmente-remodelada-14-dormitor-6-banos-2-cocinas-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
Magnífica Casa Stg Centro - 3 Dormitorios - Líder - Colegios,550000.0,$550.000,"Gral. Bulnes 1007, Santiago, Parque Los Reyes, Santiago",Parque Los Reyes,Santiago,3.0,1.0,,65.0,,https://portalinmobiliario.com/MLC-3192967518-magnifica-casa-stg-centro-3-dormitorios-lider-colegios-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
600 Mil. Debe Hacer Oferta Compra . Precio 130 Millones.,600000.0,$600.000,"Gral. Jarpa 886, Santiago, Club Hípico, Santiago",Club Hípico,Santiago,4.0,1.0,,141.0,,https://portalinmobiliario.com/MLC-3188879578-600-mil-debe-hacer-oferta-compra-precio-130-millones-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=820292b1-5881-4745-8e59-9b3e14c458b9,,2025-10-10 13:02:57
