titulo,precio,precio_texto,ubicacion,comuna,region,dormitorios,banos,superficie_total,superficie_util,estacionamientos,url,vendedor,fecha_scraping
Casa En Arriendo De 2 Dorm. En Santiago,910000.0,$910.000,"Santa Helena / Arauco, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,2.0,1.0,,98.0,,https://portalinmobiliario.com/MLC-3179438918-casa-en-arriendo-de-2-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,Fuenzalida Isabel La Católica,2025-10-10 13:02:57
Casa En Arriendo De 10 Dorm. En Santiago,2000000.0,$2.000.000,"Metro Universidad De Chile/San Isidro, San Diego, Santiago",San Diego,Santiago,10.0,2.0,,279.0,,https://portalinmobiliario.com/MLC-1701064271-casa-en-arriendo-de-10-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,BINEXXOS BUSINESS INTELLIGENC,2025-10-10 13:02:57
Arriendo Gran Casa En Santiago Centro,1200000.0,$1.200.000,"Manuel Antonio Tocornal, 271, Santa Isabel, Santiago",Santa Isabel,Santiago,5.0,3.0,,200.0,,https://portalinmobiliario.com/MLC-1716584369-arriendo-gran-casa-en-santiago-centro-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa Y Local Comercial Metro Matta,600000.0,$600.000,"Victoria, 700, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,3.0,1.0,,80.0,,https://portalinmobiliario.com/MLC-3176525044-casa-y-local-comercial-metro-matta-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo En Santiago,1200000.0,$1.200.000,"Cercano A Av., Vicuña Mackenna, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,,1.0,170.0,,,https://portalinmobiliario.com/MLC-3179142956-casa-en-arriendo-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,THE OWL Real Estate,2025-10-10 13:02:57
Casa En Arriendo De 4 Dorm. En Santiago,700000.0,$700.000,"LORD COCHRANE A CUATRO CUADRAS DE AVENIDA MATTA Y METRO RONDIZZONI, Parque O'Higgins, Santiago",Parque O'Higgins,Santiago,4.0,2.0,35.0,,,https://portalinmobiliario.com/MLC-1696225731-casa-en-arriendo-de-4-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,BINEXXOS BUSINESS INTELLIGENC,2025-10-10 13:02:57
Casa En Arriendo De 6 Dorm. En Santiago,1500000.0,$1.500.000,"En Venta / Arriendo Propiedad Comercial A Pasos De Estación Metro Cumming, Barrio Yungay, Santiago",Barrio Yungay,Santiago,6.0,3.0,,499.0,,https://portalinmobiliario.com/MLC-3163647686-casa-en-arriendo-de-6-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,Prosal,2025-10-10 13:02:57
Arriendo Con Opción De Compra Casa Stgo Centro A Min. Metro,550000.0,$550.000,"PROPIEDAD CERCANA A FRANKLIN, Franklin - Biobío, Santiago",Franklin - Biobío,Santiago,4.0,2.0,,79.0,,https://portalinmobiliario.com/MLC-3202299946-arriendo-con-opcion-de-compra-casa-stgo-centro-a-min-metro-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo De 6d/2b Sector Maule/sierra Bella,1100000.0,$1.100.000,"Maule - Sierra Bella, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,6.0,2.0,,140.0,,https://portalinmobiliario.com/MLC-3193080012-casa-en-arriendo-de-6d2b-sector-maulesierra-bella-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo En Santiago Con Amplios Espacios,378.0,$378,"SOTOMAYOR // ALAMEDA, Barrio Yungay, Santiago",Barrio Yungay,Santiago,15.0,20.0,,2169.0,,https://portalinmobiliario.com/MLC-3190983874-casa-en-arriendo-en-santiago-con-amplios-espacios-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
