link,lat,lon,comuna_geo,query_used
https://portalinmobiliario.com/MLC-1710735807-departamento-muy-bien-ubicado-en-marin-2d2b-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=45&type=item&tracking_id=2f7c9285-b7a2-4116-8580-155cb555c104,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3199785558-encantador-departamento-en-lugar-inmejorable-de-penalolen-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=47&type=item&tracking_id=2f7c9285-b7a2-4116-8580-155cb555c104,-33.5299969,-70.6935883,Lo Espejo,"encantador, Santiago, Chile"
https://portalinmobiliario.com/MLC-3210421984-departamento-remodelado-con-terrazas-y-seguridad-247-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=48&type=item&tracking_id=2f7c9285-b7a2-4116-8580-155cb555c104,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3202289784-encantador-departamento-en-lugar-inmejorable-de-penalolen-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.5299969,-70.6935883,Lo Espejo,"encantador, Santiago, Chile"
https://portalinmobiliario.com/MLC-3152773782-departamento-cercano-metro-nunoa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.4533,-70.6033,Ñuñoa,Metro Fijo: Ñuñoa
https://portalinmobiliario.com/MLC-1715082353-excelente-departamento-en-noruega-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3682965,-70.4944497,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-3162420662-departamento-nuevo-cercano-a-metro-nunoa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.4533,-70.6033,Ñuñoa,Metro Fijo: Ñuñoa
https://portalinmobiliario.com/MLC-3191001626-departamento-nuevo-en-las-condes-2h-2b-y-home-office-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3682965,-70.4944497,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-1716004149-arriendo-1d1b-gastos-comunes-incluidos-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3144030880-departamento-nuevo-1-dormitorio-en-nunoa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3185507630-moderno-departamento-1d-1b-mas-home-office-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3682965,-70.4944497,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-3192881668-arriendo-departamento-nunoa-cercano-a-plaza-egana-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.4534937,-70.570823,Ñuñoa,Barrio: plaza egaña
https://portalinmobiliario.com/MLC-3148558338-departamento-mariposa-nuevo-a-estrenar-nunoa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3185493020-nuevo-y-moderno-departamento-en-las-condes-2h-2b-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3682965,-70.4944497,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-3198453834-tu-nueva-vida-empieza-aqui-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1705545705-bajo-de-precio-departamento-con-vista-privilegiada-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3185520802-vive-el-lujo-y-la-comodidad-cerca-del-parque-ines-de-suarez-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3185650542-departamento-a-estrenar-en-arriendo-en-av-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3682965,-70.4944497,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-1710732905-duplex-con-ampliacion-en-los-abedules-rinconada-el-salto-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1697598263-exclusivo-departamento-amoblado-en-vitacura-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3959609,-70.5659309,Vitacura,"Calle vitacura, Santiago, Chile"
https://portalinmobiliario.com/MLC-1715389881-arrienda-en-las-condes-metro-manquehue-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.4094637,-70.5697326,Las Condes,Barrio: manquehue
https://portalinmobiliario.com/MLC-1701696171-departamento-versatil-en-ubicacion-estrategica-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1702375885-arriendo-departamento-2d2b-metro-san-miguel-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.4917,-70.65,San Miguel,Metro Fijo: San Miguel
https://portalinmobiliario.com/MLC-1697505663-amoblado-temporal-el-tamarugo-av-vitacura-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3959609,-70.5659309,Vitacura,"Calle vitacura, Santiago, Chile"
https://portalinmobiliario.com/MLC-1709405589-amoblado-con-vista-privilegiada-las-hualtatas-pio-xi-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1686894805-departamento-2d2be-a-pasos-metro-los-dominicos-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1716338929-depto-arriendoventa-alto-lc-vista-despejada-nor-oriente-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=34&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3193037076-arriendo-en-colon-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=35&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3682965,-70.4944497,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-1706992731-moderno-y-luminoso-1d1b-con-terraza-en-cantagallo-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=36&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1696361759-barrio-noruega-4d-3b-1-estac-1b-excelente-conectividad-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=38&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3204991846-hermoso-departamento-en-excelente-ubicacion-de-la-reina-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=39&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.5866104,-70.5512995,Puente Alto,"hermoso, Santiago, Chile"
https://portalinmobiliario.com/MLC-1717439649-penthouse-duplex-con-vistas-panoramicas-en-vitacura-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=41&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3959609,-70.5659309,Vitacura,"Calle vitacura, Santiago, Chile"
https://portalinmobiliario.com/MLC-1715392323-arriendo-en-vitacura-excelente-ubicacion-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=43&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3959609,-70.5659309,Vitacura,"Calle vitacura, Santiago, Chile"
https://portalinmobiliario.com/MLC-3198443358-departamento-nuevo-para-estrenar-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=45&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3161435812-departamento-mariposa-metro-nunoa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.4533,-70.6033,Ñuñoa,Metro Fijo: Ñuñoa
https://portalinmobiliario.com/MLC-3192991500-arriendo-de-duplex-con-rooftop-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=48&type=item&tracking_id=7a14bbb5-492d-4d82-ba7a-f6459aec7db7,-33.3682965,-70.4944497,Las Condes,"Calle las condes, Santiago, Chile"
https://portalinmobiliario.com/MLC-1694533331-disponible-ahora-duplex-con-jardin-en-edificio-neoclasico-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=440f449e-d8e3-4764-a42b-2ff051d5f39c,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3184889226-oportunidad-aire-acondicionado-y-amoblado-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=440f449e-d8e3-4764-a42b-2ff051d5f39c,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1714012821-los-acantos-i-moderno-y-remodelado-i-amplio-y-funcional-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=440f449e-d8e3-4764-a42b-2ff051d5f39c,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3198267986-departamento-en-arriendo-en-los-cipreses-san-bernardo-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=440f449e-d8e3-4764-a42b-2ff051d5f39c,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1711010505-departamento-en-arriendo-en-san-francisco-294-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=440f449e-d8e3-4764-a42b-2ff051d5f39c,-33.6312054,-70.6086659,Puente Alto,"Calle san francisco, Santiago, Chile"
https://portalinmobiliario.com/MLC-3175121494-estupendo-y-luminoso-duplex-5-dormitorios-y-sala-de-estar-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=440f449e-d8e3-4764-a42b-2ff051d5f39c,,,No Especificada,Failed
