link,superficie_util,superficie_total,dormitorios,banos
https://portalinmobiliario.com/MLC-1674822023-departamento-en-venta-de-2-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,80 m²,86 m²,2,2
https://portalinmobiliario.com/MLC-1674757129-departamento-en-excelente-estado-barrio-el-golf-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,109 m²,126 m²,3,3
https://portalinmobiliario.com/MLC-1670821309-penthouse-duplex-metro-manquehue-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,76 m²,136 m²,2,2
https://portalinmobiliario.com/MLC-2983208674-venta-lindo-departamento-3d3b-a-pasos-colon-con-vespucio-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,115 m²,126 m²,3,3
https://portalinmobiliario.com/MLC-2991332276-venta-lindo-depto-3d2b-metro-estadio-nacional-nunoa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,64 m²,64 m²,3,2
https://portalinmobiliario.com/MLC-1624109851-venta-dpto-2d2b1eb-mariposa-excelente-inversion-macul-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,55 m²,62 m²,2,2
https://portalinmobiliario.com/MLC-1567133341-departamento-en-venta-san-carlos-de-apoquindo-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,137 m²,157 m²,4,3
https://portalinmobiliario.com/MLC-1586734379-departamento-en-venta-duplex-san-carlos-de-apoquindo-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,152 m²,177 m²,3,3
https://portalinmobiliario.com/MLC-1573142267-departamento-en-venta-av-la-dehesa-lo-barnechea-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,140 m²,170 m²,3,3
https://portalinmobiliario.com/MLC-1619686333-departamento-remodelado-en-venta-av-las-condes-metro-estor-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,90 m²,105 m²,2,2
