link,superficie_util,superficie_total,dormitorios,banos
https://portalinmobiliario.com/MLC-2936979434-departamento-en-venta-de-4-dorm-en-lo-barnechea-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,116 m²,132 m²,4,3
https://portalinmobiliario.com/MLC-2845564746-departamento-en-venta-de-3-dorm-en-providencia-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,185 m²,190 m²,3,3
https://portalinmobiliario.com/MLC-3064786632-departamento-en-venta-de-3-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,150 m²,170 m²,3,2
https://portalinmobiliario.com/MLC-2933745646-depto-como-nuevo-en-venta-dehesa-central-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,138 m²,180 m²,4,3
https://portalinmobiliario.com/MLC-3173926434-portal-la-dehesa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,150 m²,200 m²,3,3
https://portalinmobiliario.com/MLC-1591741857-departamento-en-venta-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,70 m²,150 m²,1,1
https://portalinmobiliario.com/MLC-2898673184-moderno-departamento-tres-dormitorios-en-suite-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,128 m²,140 m²,3,3
https://portalinmobiliario.com/MLC-2898776198-departamento-primer-piso-con-jardin-propio-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,121 m²,350 m²,3,2
https://portalinmobiliario.com/MLC-2898789340-sport-frances-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,126 m²,156 m²,3,3
https://portalinmobiliario.com/MLC-2898871322-huinganal-pie-andino-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=201f8246-4231-4447-b9af-8be598e29c2b,100 m²,113 m²,3,2
